"","method","bias","rmse","estimate","ci_cov","power","n","sig_u","rho","aw","ba","mis"
"1.1","CV",0.150418614571615,0.150418614571615,1.00150418614572,93.7093275488069,100,1000,0.1,0.15,0.75,1,"base"
"1.2","IV",0.291231592534815,0.291231592534815,1.00291231592535,95.2,100,1000,0.1,0.15,0.75,1,"base"
"1.3","Ideal",-0.0240474098850481,0.0240474098850481,0.999759525901149,93.4,100,1000,0.1,0.15,0.75,1,"base"
"1.4","MIME",0.962331637160073,0.962331637160073,1.0096233163716,94.8,100,1000,0.1,0.15,0.75,1,"base"
"1.5","Naive",-0.508116138306387,0.508116138306387,0.994918838616936,92.6,100,1000,0.1,0.15,0.75,1,"base"
"1.6","RC",0.024007288838806,0.024007288838806,1.00024007288839,94.2,100,1000,0.1,0.15,0.75,1,"base"
"1.7","SIMEX",-0.00962615769497657,0.00962615769497657,0.99990373842305,93.4,100,1000,0.1,0.15,0.75,1,"base"
"2.1","CV",0.0865621137921096,0.0865621137921096,1.00086562113792,89.8520084566596,100,1000,0.25,0.15,0.75,1,"base"
"2.2","IV",-0.747048657088393,0.747048657088393,0.992529513429116,94.6,100,1000,0.25,0.15,0.75,1,"base"
"2.3","Ideal",0.0555945688391823,0.0555945688391823,1.00055594568839,93.2,100,1000,0.25,0.15,0.75,1,"base"
"2.4","MIME",0.281112822832673,0.281112822832673,1.00281112822833,95.2,100,1000,0.25,0.15,0.75,1,"base"
"2.5","Naive",-2.9221236044371,2.9221236044371,0.970778763955629,82.4,100,1000,0.25,0.15,0.75,1,"base"
"2.6","RC",0.121717348386788,0.121717348386788,1.00121717348387,94.2,100,1000,0.25,0.15,0.75,1,"base"
"2.7","SIMEX",-0.388089620527119,0.388089620527119,0.996119103794729,91,100,1000,0.25,0.15,0.75,1,"base"
"3.1","CV",0.38403523633796,0.38403523633796,1.00384035236338,87.8600823045268,100,1000,0.5,0.15,0.75,1,"base"
"3.2","IV",0.192447121129944,0.192447121129944,1.0019244712113,95.4,100,1000,0.5,0.15,0.75,1,"base"
"3.3","Ideal",0.130717204827983,0.130717204827983,1.00130717204828,92.4,100,1000,0.5,0.15,0.75,1,"base"
"3.4","MIME",0.737960647391815,0.737960647391815,1.00737960647392,94.8,100,1000,0.5,0.15,0.75,1,"base"
"3.5","Naive",-9.54210211518747,9.54210211518747,0.904578978848125,24.4,100,1000,0.5,0.15,0.75,1,"base"
"3.6","RC",0.0492422133197918,0.0492422133197918,1.0004924221332,95.6,100,1000,0.5,0.15,0.75,1,"base"
"3.7","SIMEX",-3.80803323152899,3.80803323152899,0.96191966768471,78.6,100,1000,0.5,0.15,0.75,1,"base"
"4.1","CV",0.486434614431432,0.486434614431432,1.00486434614431,90.7444668008048,100,1000,0.75,0.15,0.75,1,"base"
"4.2","IV",0.00665286822527198,0.00665286822527198,1.00006652868225,95.8,100,1000,0.75,0.15,0.75,1,"base"
"4.3","Ideal",-0.111564327628673,0.111564327628673,0.998884356723713,93,100,1000,0.75,0.15,0.75,1,"base"
"4.4","MIME",0.883283762873914,0.883283762873914,1.00883283762874,95.2,100,1000,0.75,0.15,0.75,1,"base"
"4.5","Naive",-16.2905614744062,16.2905614744062,0.837094385255938,1.2,100,1000,0.75,0.15,0.75,1,"base"
"4.6","RC",-0.0997501859481258,0.0997501859481258,0.999002498140519,98.6,100,1000,0.75,0.15,0.75,1,"base"
"4.7","SIMEX",-9.90771618744315,9.90771618744315,0.900922838125568,25.4,100,1000,0.75,0.15,0.75,1,"base"
"5.1","CV",0.29644553930105,0.29644553930105,1.00296445539301,87.8542510121457,100,1000,0.9,0.15,0.75,1,"base"
"5.2","IV",0.612408354528671,0.612408354528671,1.00612408354529,96.4,100,1000,0.9,0.15,0.75,1,"base"
"5.3","Ideal",-0.0197361395704606,0.0197361395704606,0.999802638604295,91.8,100,1000,0.9,0.15,0.75,1,"base"
"5.4","MIME",0.998596162512223,0.998596162512223,1.00998596162512,94.4,100,1000,0.9,0.15,0.75,1,"base"
"5.5","Naive",-19.2751664615775,19.2751664615775,0.807248335384225,0.4,100,1000,0.9,0.15,0.75,1,"base"
"5.6","RC",0.17504699189319,0.17504699189319,1.00175046991893,98.2,100,1000,0.9,0.15,0.75,1,"base"
"5.7","SIMEX",-13.3015811995645,13.3015811995645,0.866984188004355,8.8,100,1000,0.9,0.15,0.75,1,"base"
"6.1","CV",-0.349961192267652,0.349961192267652,0.996500388077323,89.957264957265,100,1000,0.1,0.15,0.75,1,"ps-mis"
"6.2","IV",0.0837414888433962,0.0837414888433962,1.00083741488843,90.4,100,1000,0.1,0.15,0.75,1,"ps-mis"
"6.3","Ideal",-0.24007790754427,0.24007790754427,0.997599220924557,90.2,100,1000,0.1,0.15,0.75,1,"ps-mis"
"6.4","MIME",-0.52357125919541,0.52357125919541,0.994764287408046,95.2,100,1000,0.1,0.15,0.75,1,"ps-mis"
"6.5","Naive",-0.181578176276391,0.181578176276391,0.998184218237236,90.4,100,1000,0.1,0.15,0.75,1,"ps-mis"
"6.6","RC",-0.216651452954226,0.216651452954226,0.997833485470458,92.8,100,1000,0.1,0.15,0.75,1,"ps-mis"
"6.7","SIMEX",-0.211143113905818,0.211143113905818,0.997888568860942,90.6,100,1000,0.1,0.15,0.75,1,"ps-mis"
"7.1","CV",0.198360516961473,0.198360516961473,1.00198360516961,89.0295358649789,100,1000,0.25,0.15,0.75,1,"ps-mis"
"7.2","IV",0.472460894698368,0.472460894698368,1.00472460894698,88.2,100,1000,0.25,0.15,0.75,1,"ps-mis"
"7.3","Ideal",0.0236892348699363,0.0236892348699363,1.0002368923487,91,100,1000,0.25,0.15,0.75,1,"ps-mis"
"7.4","MIME",0.0528304238865278,0.0528304238865278,1.00052830423887,91.2,100,1000,0.25,0.15,0.75,1,"ps-mis"
"7.5","Naive",0.347572026681214,0.347572026681214,1.00347572026681,91.6,100,1000,0.25,0.15,0.75,1,"ps-mis"
"7.6","RC",0.169599817174317,0.169599817174317,1.00169599817174,95,100,1000,0.25,0.15,0.75,1,"ps-mis"
"7.7","SIMEX",0.172565899711097,0.172565899711097,1.00172565899711,91.6,100,1000,0.25,0.15,0.75,1,"ps-mis"
"8.1","CV",-0.0173797946923292,0.0173797946923292,0.999826202053077,90.5660377358491,100,1000,0.5,0.15,0.75,1,"ps-mis"
"8.2","IV",0.368756690624084,0.368756690624084,1.00368756690624,90.4,100,1000,0.5,0.15,0.75,1,"ps-mis"
"8.3","Ideal",0.0346833781372071,0.0346833781372071,1.00034683378137,93.2,100,1000,0.5,0.15,0.75,1,"ps-mis"
"8.4","MIME",-0.168303384725186,0.168303384725186,0.998316966152748,93.8,100,1000,0.5,0.15,0.75,1,"ps-mis"
"8.5","Naive",0.80690187094803,0.80690187094803,1.00806901870948,89.8,100,1000,0.5,0.15,0.75,1,"ps-mis"
"8.6","RC",0.0271666251109619,0.0271666251109619,1.00027166625111,97.6,100,1000,0.5,0.15,0.75,1,"ps-mis"
"8.7","SIMEX",0.344098397594901,0.344098397594901,1.00344098397595,89.8,100,1000,0.5,0.15,0.75,1,"ps-mis"
"9.1","CV",-0.0647054932182097,0.0647054932182097,0.999352945067818,84.2857142857143,100,1000,0.75,0.15,0.75,1,"ps-mis"
"9.2","IV",0.662857456395759,0.662857456395759,1.00662857456396,90.8,100,1000,0.75,0.15,0.75,1,"ps-mis"
"9.3","Ideal",-0.0503751090003204,0.0503751090003204,0.999496248909997,93,100,1000,0.75,0.15,0.75,1,"ps-mis"
"9.4","MIME",-0.161277019260538,0.161277019260538,0.998387229807395,91.8,100,1000,0.75,0.15,0.75,1,"ps-mis"
"9.5","Naive",1.52672322316358,1.52672322316358,1.01526723223164,88,100,1000,0.75,0.15,0.75,1,"ps-mis"
"9.6","RC",-0.0755713889581053,0.0755713889581053,0.999244286110419,98.6,100,1000,0.75,0.15,0.75,1,"ps-mis"
"9.7","SIMEX",1.08645156678105,1.08645156678105,1.01086451566781,89.2,100,1000,0.75,0.15,0.75,1,"ps-mis"
"10.1","CV",-0.222081891442825,0.222081891442825,0.997779181085572,86.652977412731,100,1000,0.9,0.15,0.75,1,"ps-mis"
"10.2","IV",0.469443506002364,0.469443506002364,1.00469443506002,90.6,100,1000,0.9,0.15,0.75,1,"ps-mis"
"10.3","Ideal",-0.0312645505242321,0.0312645505242321,0.999687354494758,92.2,100,1000,0.9,0.15,0.75,1,"ps-mis"
"10.4","MIME",-0.270661587762722,0.270661587762722,0.997293384122373,94.4,100,1000,0.9,0.15,0.75,1,"ps-mis"
"10.5","Naive",1.72083380179296,1.72083380179296,1.01720833801793,89.2,100,1000,0.9,0.15,0.75,1,"ps-mis"
"10.6","RC",-0.0374536604105221,0.0374536604105221,0.999625463395895,99.8,100,1000,0.9,0.15,0.75,1,"ps-mis"
"10.7","SIMEX",1.32462452956251,1.32462452956251,1.01324624529563,88.4,100,1000,0.9,0.15,0.75,1,"ps-mis"
"11.1","CV",-0.0857987809757507,0.0857987809757507,0.999142012190242,90.1260504201681,100,1000,0.1,0.15,0.75,1,"out-mis"
"11.2","IV",-0.179589434087477,0.179589434087477,0.998204105659125,94,100,1000,0.1,0.15,0.75,1,"out-mis"
"11.3","Ideal",-0.198842908477093,0.198842908477093,0.998011570915229,94.2,100,1000,0.1,0.15,0.75,1,"out-mis"
"11.4","MIME",-1.32098617706039,1.32098617706039,0.986790138229396,94.8,100,1000,0.1,0.15,0.75,1,"out-mis"
"11.5","Naive",-0.303369138611258,0.303369138611258,0.996966308613887,92.8,100,1000,0.1,0.15,0.75,1,"out-mis"
"11.6","RC",-0.249200494785019,0.249200494785019,0.99750799505215,94.8,100,1000,0.1,0.15,0.75,1,"out-mis"
"11.7","SIMEX",-0.261502284013226,0.261502284013226,0.997384977159868,93,100,1000,0.1,0.15,0.75,1,"out-mis"
"12.1","CV",-0.00140350501748829,0.00140350501748829,0.999985964949825,89.6995708154506,100,1000,0.25,0.15,0.75,1,"out-mis"
"12.2","IV",-0.0927647260504855,0.0927647260504855,0.999072352739495,97,100,1000,0.25,0.15,0.75,1,"out-mis"
"12.3","Ideal",0.0128826309057073,0.0128826309057073,1.00012882630906,93.2,100,1000,0.25,0.15,0.75,1,"out-mis"
"12.4","MIME",-0.136391433489411,0.136391433489411,0.998636085665106,94.6,100,1000,0.25,0.15,0.75,1,"out-mis"
"12.5","Naive",-0.271667827293412,0.271667827293412,0.997283321727066,93.4,100,1000,0.25,0.15,0.75,1,"out-mis"
"12.6","RC",0.00676733850166791,0.00676733850166791,1.00006767338502,93.8,100,1000,0.25,0.15,0.75,1,"out-mis"
"12.7","SIMEX",-0.0209561355206139,0.0209561355206139,0.999790438644794,93,100,1000,0.25,0.15,0.75,1,"out-mis"
"13.1","CV",-0.101086353658681,0.101086353658681,0.998989136463413,86.2704918032787,100,1000,0.5,0.15,0.75,1,"out-mis"
"13.2","IV",-0.685343925730371,0.685343925730371,0.993146560742696,95.4,100,1000,0.5,0.15,0.75,1,"out-mis"
"13.3","Ideal",-0.213268323019087,0.213268323019087,0.997867316769809,93,100,1000,0.5,0.15,0.75,1,"out-mis"
"13.4","MIME",-0.488178190264487,0.488178190264487,0.995118218097355,96.2,100,1000,0.5,0.15,0.75,1,"out-mis"
"13.5","Naive",-1.12027072196754,1.12027072196754,0.988797292780325,93,100,1000,0.5,0.15,0.75,1,"out-mis"
"13.6","RC",-0.207075408665264,0.207075408665264,0.997929245913347,94.8,100,1000,0.5,0.15,0.75,1,"out-mis"
"13.7","SIMEX",-0.486336904867094,0.486336904867094,0.995136630951329,92.2,100,1000,0.5,0.15,0.75,1,"out-mis"
"14.1","CV",-0.314320200747992,0.314320200747992,0.99685679799252,87.5,100,1000,0.75,0.15,0.75,1,"out-mis"
"14.2","IV",-0.366914387050949,0.366914387050949,0.99633085612949,96.2,100,1000,0.75,0.15,0.75,1,"out-mis"
"14.3","Ideal",-0.390231115507277,0.390231115507277,0.996097688844927,93.6,100,1000,0.75,0.15,0.75,1,"out-mis"
"14.4","MIME",-0.742062756566164,0.742062756566164,0.992579372434338,96.4,100,1000,0.75,0.15,0.75,1,"out-mis"
"14.5","Naive",-1.93630602643009,1.93630602643009,0.980636939735699,90.4,100,1000,0.75,0.15,0.75,1,"out-mis"
"14.6","RC",-0.169524092206733,0.169524092206733,0.998304759077933,93,100,1000,0.75,0.15,0.75,1,"out-mis"
"14.7","SIMEX",-1.03755155030965,1.03755155030965,0.989624484496904,90.6,100,1000,0.75,0.15,0.75,1,"out-mis"
"15.1","CV",-0.34651383786951,0.34651383786951,0.996534861621305,90.5050505050505,100,1000,0.9,0.15,0.75,1,"out-mis"
"15.2","IV",0.0300082333375584,0.0300082333375584,1.00030008233338,95.2,100,1000,0.9,0.15,0.75,1,"out-mis"
"15.3","Ideal",-0.297163797132806,0.297163797132806,0.997028362028672,93.2,100,1000,0.9,0.15,0.75,1,"out-mis"
"15.4","MIME",-0.984360473612746,0.984360473612746,0.990156395263873,96.2,100,1000,0.9,0.15,0.75,1,"out-mis"
"15.5","Naive",-2.60571330537615,2.60571330537615,0.973942866946239,89,100,1000,0.9,0.15,0.75,1,"out-mis"
"15.6","RC",-0.300284145073654,0.300284145073654,0.996997158549263,94.8,100,1000,0.9,0.15,0.75,1,"out-mis"
"15.7","SIMEX",-1.70840381714548,1.70840381714548,0.982915961828545,90.8,100,1000,0.9,0.15,0.75,1,"out-mis"
"16.1","CV",0.272160430180593,0.272160430180593,1.00272160430181,91.8629550321199,100,1000,0.1,0.85,0.75,1,"base"
"16.2","IV",0.124287153479626,0.124287153479626,1.0012428715348,94.6,100,1000,0.1,0.85,0.75,1,"base"
"16.3","Ideal",-0.0636044157354088,0.0636044157354088,0.999363955842646,93.2,100,1000,0.1,0.85,0.75,1,"base"
"16.4","MIME",1.04254829477257,1.04254829477257,1.01042548294773,95.6,100,1000,0.1,0.85,0.75,1,"base"
"16.5","Naive",-0.470581082283054,0.470581082283054,0.995294189177169,92.6,100,1000,0.1,0.85,0.75,1,"base"
"16.6","RC",-0.0930797155063096,0.0930797155063096,0.999069202844937,93.6,100,1000,0.1,0.85,0.75,1,"base"
"16.7","SIMEX",-0.125307144029237,0.125307144029237,0.998746928559708,92.8,100,1000,0.1,0.85,0.75,1,"base"
"17.1","CV",0.221267157373139,0.221267157373139,1.00221267157373,85.8369098712446,100,1000,0.25,0.85,0.75,1,"base"
"17.2","IV",-0.0452115136932353,0.0452115136932353,0.999547884863068,95.2,100,1000,0.25,0.85,0.75,1,"base"
"17.3","Ideal",-0.184225378820779,0.184225378820779,0.998157746211792,89.4,100,1000,0.25,0.85,0.75,1,"base"
"17.4","MIME",0.227326615811582,0.227326615811582,1.00227326615812,92.6,100,1000,0.25,0.85,0.75,1,"base"
"17.5","Naive",-2.21169690863701,2.21169690863701,0.97788303091363,86,100,1000,0.25,0.85,0.75,1,"base"
"17.6","RC",-0.15604844500708,0.15604844500708,0.998439515549929,92.8,100,1000,0.25,0.85,0.75,1,"base"
"17.7","SIMEX",-0.845261787642373,0.845261787642373,0.991547382123576,90.4,100,1000,0.25,0.85,0.75,1,"base"
"18.1","CV",0.460623051054123,0.460623051054123,1.00460623051054,86.6108786610879,100,1000,0.5,0.85,0.75,1,"base"
"18.2","IV",0.138387665966659,0.138387665966659,1.00138387665967,94,100,1000,0.5,0.85,0.75,1,"base"
"18.3","Ideal",-0.110060402618538,0.110060402618538,0.998899395973815,90.4,100,1000,0.5,0.85,0.75,1,"base"
"18.4","MIME",0.558018939908691,0.558018939908691,1.00558018939909,92.4,100,1000,0.5,0.85,0.75,1,"base"
"18.5","Naive",-5.17935290500518,5.17935290500518,0.948206470949948,64.2,100,1000,0.5,0.85,0.75,1,"base"
"18.6","RC",-0.10141017004111,0.10141017004111,0.998985898299589,94.8,100,1000,0.5,0.85,0.75,1,"base"
"18.7","SIMEX",-3.39283175833345,3.39283175833345,0.966071682416666,79.2,100,1000,0.5,0.85,0.75,1,"base"
"19.1","CV",-0.106516444157655,0.106516444157655,0.998934835558423,89.5061728395062,100,1000,0.75,0.85,0.75,1,"base"
"19.2","IV",0.201842032485889,0.201842032485889,1.00201842032486,96.4,100,1000,0.75,0.85,0.75,1,"base"
"19.3","Ideal",0.223939086051513,0.223939086051513,1.00223939086052,93.2,100,1000,0.75,0.85,0.75,1,"base"
"19.4","MIME",1.08982800402433,1.08982800402433,1.01089828004024,94.4,100,1000,0.75,0.85,0.75,1,"base"
"19.5","Naive",-6.89061833517888,6.89061833517888,0.931093816648211,47.8,100,1000,0.75,0.85,0.75,1,"base"
"19.6","RC",0.422742638529891,0.422742638529891,1.0042274263853,97.4,100,1000,0.75,0.85,0.75,1,"base"
"19.7","SIMEX",-5.5371875412261,5.5371875412261,0.944628124587739,61,100,1000,0.75,0.85,0.75,1,"base"
"20.1","CV",0.19656779352237,0.19656779352237,1.00196567793522,87.7894736842105,100,1000,0.9,0.85,0.75,1,"base"
"20.2","IV",0.0188178435438337,0.0188178435438337,1.00018817843544,93.8,100,1000,0.9,0.85,0.75,1,"base"
"20.3","Ideal",-0.221035878605635,0.221035878605635,0.997789641213944,92.2,100,1000,0.9,0.85,0.75,1,"base"
"20.4","MIME",0.755505649853502,0.755505649853502,1.00755505649853,94.6,100,1000,0.9,0.85,0.75,1,"base"
"20.5","Naive",-8.03886244181108,8.03886244181108,0.919611375581889,37.6,100,1000,0.9,0.85,0.75,1,"base"
"20.6","RC",0.156351048317534,0.156351048317534,1.00156351048318,97.6,100,1000,0.9,0.85,0.75,1,"base"
"20.7","SIMEX",-6.93336613584767,6.93336613584767,0.930666338641523,49,100,1000,0.9,0.85,0.75,1,"base"
"21.1","CV",0.0773059326264824,0.0773059326264824,1.00077305932626,88.2226980728051,100,1000,0.1,0.85,0.75,1,"ps-mis"
"21.2","IV",0.108272921734707,0.108272921734707,1.00108272921735,95.2,100,1000,0.1,0.85,0.75,1,"ps-mis"
"21.3","Ideal",0.105290151564621,0.105290151564621,1.00105290151565,91.6,100,1000,0.1,0.85,0.75,1,"ps-mis"
"21.4","MIME",-0.159587932342888,0.159587932342888,0.998404120676571,93.4,100,1000,0.1,0.85,0.75,1,"ps-mis"
"21.5","Naive",0.227795376135565,0.227795376135565,1.00227795376136,90.8,100,1000,0.1,0.85,0.75,1,"ps-mis"
"21.6","RC",0.0887074128301257,0.0887074128301257,1.0008870741283,93,100,1000,0.1,0.85,0.75,1,"ps-mis"
"21.7","SIMEX",0.104134920661288,0.104134920661288,1.00104134920661,91,100,1000,0.1,0.85,0.75,1,"ps-mis"
"22.1","CV",0.174193073686129,0.174193073686129,1.00174193073686,87.6889848812095,100,1000,0.25,0.85,0.75,1,"ps-mis"
"22.2","IV",0.0570852267138727,0.0570852267138727,1.00057085226714,93.8,100,1000,0.25,0.85,0.75,1,"ps-mis"
"22.3","Ideal",0.142847167903453,0.142847167903453,1.00142847167903,90.2,100,1000,0.25,0.85,0.75,1,"ps-mis"
"22.4","MIME",0.00497618682175283,0.00497618682175283,1.00004976186822,90.8,100,1000,0.25,0.85,0.75,1,"ps-mis"
"22.5","Naive",1.06739183185176,1.06739183185176,1.01067391831852,88.4,100,1000,0.25,0.85,0.75,1,"ps-mis"
"22.6","RC",0.18785366288091,0.18785366288091,1.00187853662881,93.4,100,1000,0.25,0.85,0.75,1,"ps-mis"
"22.7","SIMEX",0.476988042692776,0.476988042692776,1.00476988042693,90,100,1000,0.25,0.85,0.75,1,"ps-mis"
"23.1","CV",-0.313386515213348,0.313386515213348,0.996866134847867,87.0762711864407,100,1000,0.5,0.85,0.75,1,"ps-mis"
"23.2","IV",-0.178591427885619,0.178591427885619,0.998214085721144,94.2,100,1000,0.5,0.85,0.75,1,"ps-mis"
"23.3","Ideal",-0.134321653084092,0.134321653084092,0.998656783469159,89.8,100,1000,0.5,0.85,0.75,1,"ps-mis"
"23.4","MIME",-0.421628445802541,0.421628445802541,0.995783715541975,93.6,100,1000,0.5,0.85,0.75,1,"ps-mis"
"23.5","Naive",2.13575829433666,2.13575829433666,1.02135758294337,88.2,100,1000,0.5,0.85,0.75,1,"ps-mis"
"23.6","RC",-0.131762389564081,0.131762389564081,0.998682376104359,96.6,100,1000,0.5,0.85,0.75,1,"ps-mis"
"23.7","SIMEX",1.36900561334362,1.36900561334362,1.01369005613344,87.4,100,1000,0.5,0.85,0.75,1,"ps-mis"
"24.1","CV",0.3957943623103,0.3957943623103,1.0039579436231,88,100,1000,0.75,0.85,0.75,1,"ps-mis"
"24.2","IV",0.2726059092474,0.2726059092474,1.00272605909247,93.6,100,1000,0.75,0.85,0.75,1,"ps-mis"
"24.3","Ideal",0.182841090142668,0.182841090142668,1.00182841090143,90,100,1000,0.75,0.85,0.75,1,"ps-mis"
"24.4","MIME",-0.216858544030089,0.216858544030089,0.997831414559699,90.2,100,1000,0.75,0.85,0.75,1,"ps-mis"
"24.5","Naive",3.21146470797551,3.21146470797551,1.03211464707976,81.2,100,1000,0.75,0.85,0.75,1,"ps-mis"
"24.6","RC",0.0470611114918433,0.0470611114918433,1.00047061111492,95.6,100,1000,0.75,0.85,0.75,1,"ps-mis"
"24.7","SIMEX",2.68251462810098,2.68251462810098,1.02682514628101,83.4,100,1000,0.75,0.85,0.75,1,"ps-mis"
"25.1","CV",-0.391533067527874,0.391533067527874,0.996084669324721,88.8659793814433,100,1000,0.9,0.85,0.75,1,"ps-mis"
"25.2","IV",-0.346229074375905,0.346229074375905,0.996537709256241,95.2,100,1000,0.9,0.85,0.75,1,"ps-mis"
"25.3","Ideal",-0.321510155264898,0.321510155264898,0.996784898447351,92.8,100,1000,0.9,0.85,0.75,1,"ps-mis"
"25.4","MIME",-0.660696696070637,0.660696696070637,0.993393033039294,93.2,100,1000,0.9,0.85,0.75,1,"ps-mis"
"25.5","Naive",3.14058634907228,3.14058634907228,1.03140586349072,83,100,1000,0.9,0.85,0.75,1,"ps-mis"
"25.6","RC",-0.386292391695466,0.386292391695466,0.996137076083045,98.2,100,1000,0.9,0.85,0.75,1,"ps-mis"
"25.7","SIMEX",2.69321132215456,2.69321132215456,1.02693211322155,86.2,100,1000,0.9,0.85,0.75,1,"ps-mis"
"26.1","CV",-0.0527270694605848,0.0527270694605848,0.999472729305394,90.7127429805616,100,1000,0.1,0.85,0.75,1,"out-mis"
"26.2","IV",0.44128827398186,0.44128827398186,1.00441288273982,95.2,100,1000,0.1,0.85,0.75,1,"out-mis"
"26.3","Ideal",0.0405633761002813,0.0405633761002813,1.000405633761,92,100,1000,0.1,0.85,0.75,1,"out-mis"
"26.4","MIME",-0.0132263611148696,0.0132263611148696,0.999867736388851,94.2,100,1000,0.1,0.85,0.75,1,"out-mis"
"26.5","Naive",0.0256530160836029,0.0256530160836029,1.00025653016084,91.8,100,1000,0.1,0.85,0.75,1,"out-mis"
"26.6","RC",-0.0228135420265884,0.0228135420265884,0.999771864579734,92.8,100,1000,0.1,0.85,0.75,1,"out-mis"
"26.7","SIMEX",-0.00530370067010477,0.00530370067010477,0.999946962993299,91.8,100,1000,0.1,0.85,0.75,1,"out-mis"
"27.1","CV",0.0230871181938767,0.0230871181938767,1.00023087118194,89.8706896551724,100,1000,0.25,0.85,0.75,1,"out-mis"
"27.2","IV",0.0829059887188799,0.0829059887188799,1.00082905988719,93.8,100,1000,0.25,0.85,0.75,1,"out-mis"
"27.3","Ideal",-0.130606271963005,0.130606271963005,0.99869393728037,92.6,100,1000,0.25,0.85,0.75,1,"out-mis"
"27.4","MIME",-0.201094977251183,0.201094977251183,0.997989050227488,94.8,100,1000,0.25,0.85,0.75,1,"out-mis"
"27.5","Naive",-0.230300158010786,0.230300158010786,0.997696998419892,93.6,100,1000,0.25,0.85,0.75,1,"out-mis"
"27.6","RC",-0.214800882090588,0.214800882090588,0.997851991179094,94.4,100,1000,0.25,0.85,0.75,1,"out-mis"
"27.7","SIMEX",-0.177109222739837,0.177109222739837,0.998228907772602,93.6,100,1000,0.25,0.85,0.75,1,"out-mis"
"28.1","CV",0.0818557065984921,0.0818557065984921,1.00081855706598,88.3870967741936,100,1000,0.5,0.85,0.75,1,"out-mis"
"28.2","IV",0.0533380503800041,0.0533380503800041,1.0005333805038,94,100,1000,0.5,0.85,0.75,1,"out-mis"
"28.3","Ideal",0.108483374595423,0.108483374595423,1.00108483374595,92.8,100,1000,0.5,0.85,0.75,1,"out-mis"
"28.4","MIME",-0.0602110461038214,0.0602110461038214,0.999397889538962,94.8,100,1000,0.5,0.85,0.75,1,"out-mis"
"28.5","Naive",-0.0245464491737501,0.0245464491737501,0.999754535508263,92.6,100,1000,0.5,0.85,0.75,1,"out-mis"
"28.6","RC",-0.0591011972618238,0.0591011972618238,0.999408988027382,92.6,100,1000,0.5,0.85,0.75,1,"out-mis"
"28.7","SIMEX",-0.00591486257342313,0.00591486257342313,0.999940851374266,92.4,100,1000,0.5,0.85,0.75,1,"out-mis"
"29.1","CV",-0.0823186877854852,0.0823186877854852,0.999176813122145,88.1496881496882,100,1000,0.75,0.85,0.75,1,"out-mis"
"29.2","IV",0.022360825051655,0.022360825051655,1.00022360825052,95,100,1000,0.75,0.85,0.75,1,"out-mis"
"29.3","Ideal",-0.19792456045316,0.19792456045316,0.998020754395468,91.8,100,1000,0.75,0.85,0.75,1,"out-mis"
"29.4","MIME",-0.220336059203042,0.220336059203042,0.99779663940797,94,100,1000,0.75,0.85,0.75,1,"out-mis"
"29.5","Naive",-0.127851616982691,0.127851616982691,0.998721483830173,90.6,100,1000,0.75,0.85,0.75,1,"out-mis"
"29.6","RC",-0.0131951596143578,0.0131951596143578,0.999868048403856,93,100,1000,0.75,0.85,0.75,1,"out-mis"
"29.7","SIMEX",-0.0745546055658824,0.0745546055658824,0.999254453944341,89.8,100,1000,0.75,0.85,0.75,1,"out-mis"
"30.1","CV",-0.271835107565017,0.271835107565017,0.99728164892435,85.9183673469388,100,1000,0.9,0.85,0.75,1,"out-mis"
"30.2","IV",-0.370873325454026,0.370873325454026,0.99629126674546,94.6,100,1000,0.9,0.85,0.75,1,"out-mis"
"30.3","Ideal",-0.526372785013369,0.526372785013369,0.994736272149866,91.4,100,1000,0.9,0.85,0.75,1,"out-mis"
"30.4","MIME",-0.541032527984421,0.541032527984421,0.994589674720156,94,100,1000,0.9,0.85,0.75,1,"out-mis"
"30.5","Naive",-0.431473240808629,0.431473240808629,0.995685267591914,91.8,100,1000,0.9,0.85,0.75,1,"out-mis"
"30.6","RC",-0.648651890503678,0.648651890503678,0.993513481094963,91.6,100,1000,0.9,0.85,0.75,1,"out-mis"
"30.7","SIMEX",-0.43314322443261,0.43314322443261,0.995668567755674,91.2,100,1000,0.9,0.85,0.75,1,"out-mis"
